show_id,type,Tipo,name,Director,Elenco,country,Pais,year,clasificacion,duracion,listed_in,genero,description,Sinopsis,Plataforma
s1,Movie,Película,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",,,2016,TV-G,23 min,"Animation, Family","Animación, Familia",Join Mickey and the gang as they duck the halls!,¡Únete a Mickey y la pandilla mientras esquivan los pasillos!,Disney plus
s2,Movie,Película,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",,,1988,PG,91 min,Comedy,Comedia,Santa Claus passes his magic bag to a new St. Nic.,Papá Noel le pasa su bolsa mágica a un nuevo San Nicolás.,Disney plus
s3,Movie,Película,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",United States,Estados Unidos,2011,TV-G,23 min,"Animation, Comedy, Family","Animación, Comedia, Familia",Sid the Sloth is on Santa's naughty list.,Sid el Perezoso está en la lista traviesa de Santa.,Disney plus
s4,Movie,Película,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",,,2021,TV-PG,41 min,Musical,Musical,"This is real life, not just fantasy!","¡Esto es la vida real, no sólo una fantasía!",Disney plus
s5,TV Show,Programa de televisión,The Beatles: Get Back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",,,2021,,1 Season,"Docuseries, Historical, Music","Docuseries, Histórico, Música",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,Un documental de tres partes de Peter Jackson que captura un momento en la historia de la música con The Beatles.,Disney plus
s6,Movie,Película,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",United States,Estados Unidos,2021,PG-13,94 min,"Biographical, Documentary","Biográfico, Documental",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,Una mirada al interior de la legendaria vida del aventurero Jacques-Yves Cousteau.,Disney plus
s7,TV Show,Programa de televisión,Hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",,,2021,TV-14,1 Season,"Action-Adventure, Superhero","Acción-aventura, Superhéroe",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,Clint Barton/Hawkeye debe formar equipo con la hábil arquera Kate Bishop para desentrañar una conspiración criminal.,Disney plus
s8,TV Show,Programa de televisión,Port Protection Alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",United States,Estados Unidos,2015,TV-14,2 Seasons,"Docuseries, Reality, Survival","Docuseries, Realidad, Supervivencia",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,Los residentes de Port Protection deben combatir las condiciones volátiles para sobrevivir y prosperar en Alaska.,Disney plus
s9,TV Show,Programa de televisión,Secrets of the Zoo: Tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",United States,Estados Unidos,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family","Animales y Naturaleza, Docuseries, Familia",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,Un día en la vida en ZooTampa es todo menos ordinario. ¡Es extraordinario!,Disney plus
s10,Movie,Película,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,Estados Unidos,2008,G,45 min,"Comedy, Family, Musical","Comedia, Familia, Musical",Celebrate the holiday season with all your favorite Muppets.,Celebra la temporada navideña con todos tus Muppets favoritos.,Disney plus
s11,Movie,Película,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",,,2020,TV-PG,59 min,Documentary,Documental,Explore the treasures and rich history of the Walt Disney Archives.,Explora los tesoros y la rica historia de los Archivos de Walt Disney.,Disney plus
s12,Movie,Película,Puppy for Hanukkah,,,,,2020,TV-G,4 min,"Comedy, Family, Music","Comedia, Familia, Música","Check out Daveed Digg's official music video ""Puppy for Hanukkah!""","Mira el vídeo musical oficial de Daveed Digg ""¡Puppy for Hanukkah!""",Disney plus
s13,Movie,Película,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,Estados Unidos,2007,G,91 min,"Documentary, Family","Documental, Familia",A groundbreaking company forever changes the face of filmmaking.,Una empresa innovadora cambia para siempre el rostro del cine.,Disney plus
s14,TV Show,Programa de televisión,"Dr. Oakley, Yukon Vet",,"Dr. Michelle Oakley, Zachary Fine",United States,Estados Unidos,2013,TV-PG,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Acción-Aventura, Animales y Naturaleza, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.","Conozca a la Dra. Michelle Oakley, veterinaria de prácticamente todo lo que se mueve en el accidentado Yukón.",Disney plus
s15,Movie,Película,America the Beautiful,,Michael B. Jordan,,,2021,TV-PG,2 min,Animals & Nature,Animales y naturaleza,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.",Retrato épico y grandioso de la tierra en cuatro regiones del continente más extremo. Próximamente en 2022.,Disney plus
s16,Movie,Película,Baymax!,,,,,2021,TV-G,1 min,Animation,Animación,“Baymax!” premieres on Disney+ summer 2022.,“¡Baymax!” se estrena en Disney+ verano 2022.,Disney plus
s17,Movie,Película,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",,,2021,TV-PG,8 min,"Animation, Comedy, Family","Animación, Comedia, Familia",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,"Alberto, el monstruo marino amante de la diversión, quiere de todo corazón demostrar su valía ante su estoico mentor Massimo.",Disney plus
s18,TV Show,Programa de televisión,Disney Fancy Nancy,,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath","United States, Canada","Estados Unidos, Canadá",2018,TV-PG,3 Seasons,"Animation, Kids","Animación, Infantil",Nancy makes every day extraordinary!,¡Nancy hace que cada día sea extraordinario!,Disney plus
s19,TV Show,Programa de televisión,Disney Intertwined,,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",,,2021,TV-PG,1 Season,"Comedy, Coming of Age, Drama","Comedia, Mayoría de edad, Drama",Allegra is ready to change the past in order to reach her dream.,Allegra está dispuesta a cambiar el pasado para alcanzar su sueño.,Disney plus
