show_id,Tipo,type,name,título,Pais,country,year,clasificacion,duracion,duration,genero,listed_in,description,Sinopsis,Plataforma
s1,Película,Movie,Ricky Velez: Here's Everything,Ricky Vélez: Aquí está todo,,,2021,TV-MA,#VALUE!,,"Comedia, Stand Up","Comedy, Stand Up",​Comedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special.,​El comediante Ricky Vélez lo muestra todo con su lente honesta y su perspectiva realista en su primer especial de stand-up de HBO.,Hulu
s2,Película,Movie,Silent Night,Noche de paz,,,2020,,94 minutos,94 min,"Crimen, Drama, Suspense","Crime, Drama, Thriller","Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job.","Mark, un asesino a sueldo del sur de Londres que acaba de salir de prisión, intenta ir directamente a por su hija, pero Alan, su antiguo compañero de celda, lo atrae nuevamente para hacer un último trabajo.",Hulu
s3,Película,Movie,The Marksman,El tirador,,,2021,PG-13,108 minutos,108 min,"Acción, Suspense","Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,Un duro ranchero de Arizona intenta proteger a un niño migrante de 11 años que huye de un despiadado cartel de la droga.,Hulu
s4,Película,Movie,Gaia,Gaia,,,2021,R,97 minutos,97 min,Horror,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,Un guardabosques y dos supervivientes con una devoción por el bosque se enfrentan a la amenaza de una naturaleza implacable cuando un ser extraño los ataca una noche.,Hulu
s5,Película,Movie,Settlers,Colonos,,,2021,,104 minutos,104 min,"Ciencia ficción, Suspense","Science Fiction, Thriller",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,Los primeros pobladores de la humanidad en la frontera marciana hacen lo que deben para sobrevivir a los elementos cósmicos y a los demás en este emocionante viaje de ciencia ficción.,Hulu
s6,programa de televisión,TV Show,The Halloween Candy Magic Pet,La mascota mágica de los dulces de Halloween,,,2021,,1 temporada,1 Season,"Familia, Niños","Family, Kids","Join Mila and Morphle on a mystery-filled Halloween adventure! Jam packed with morphs, costumes, twists turns and spooky morphing fun. This 22-minute Halloween Special will be a kooky, spooky ride! We meet new Magic Pet Candyray who can turn anything or anyone into candy! We also meet Felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. There's a race against time to decorate the Magic Pet Center in time for the Halloweenist House Contest, but with Orphle and the Bandits getting in their way...it won't be easy. Perhaps Candyray holds the key!","¡Únete a Mila y Morphle en una aventura de Halloween llena de misterio! Repleto de transformaciones, disfraces, giros inesperados y diversión espeluznante. ¡Este especial de Halloween de 22 minutos será un viaje excéntrico y espeluznante! ¡Conocemos a la nueva mascota mágica Candyray que puede convertir cualquier cosa o persona en dulces! También nos encontramos con Felipe en la granja, quien se une a nuestros héroes en su loca aventura en su laberinto de maíz. Hay una carrera contra el tiempo para decorar el Magic Pet Center a tiempo para el Concurso de Casas de Halloween, pero con Orphle y los Bandidos interponiéndose en su camino... no será fácil. ¡Quizás Candyray tenga la clave!",Hulu
s7,Película,Movie,The Evil Next Door,El mal de al lado,,,2020,,88 minutos,88 min,"Terror, Suspense","Horror, Thriller","New to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son Lucas. Soon, strange noises start coming from the empty house adjoining theirs. Also, who is Lucas’s new friend?","Nueva en su papel de madrastra, una joven se muda a un dúplex con su pareja y su hijo Lucas, de cinco años. Pronto, empiezan a llegar ruidos extraños desde la casa vacía contigua a la de ellos. Además, ¿quién es el nuevo amigo de Lucas?",Hulu
s8,programa de televisión,TV Show,The Next Thing You Eat,Lo siguiente que comes,,,2021,,1 temporada,1 Season,"Cocina y comida, Documentales, Estilo de vida y cultura","Cooking & Food, Documentaries, Lifestyle & Culture","With the unique insights and experience of Ugly Delicious creators Morgan Neville and David Chang take a tangy look at food and our relationship to it past, present and future. Why do we eat what we eat and are we missing something better? What will we be eating in the future and why?","Con los conocimientos y la experiencia únicos de los creadores de Ugly Delicious, Morgan Neville y David Chang, analizan la comida y nuestra relación con ella en el pasado, el presente y el futuro. ¿Por qué comemos lo que comemos y nos falta algo mejor? ¿Qué comeremos en el futuro y por qué?",Hulu
s9,programa de televisión,TV Show,Queens,reinas,,,2021,TV-14,1 temporada,1 Season,"Drama, Música","Drama, Music",Four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,Cuatro mujeres de unos 40 años se reúnen para tener la oportunidad de recuperar su fama y recuperar la arrogancia que tenían como leyendas en el mundo del hip-hop de los noventa.,Hulu
s10,programa de televisión,TV Show,The Bachelorette,La despedida de soltera,Estados Unidos,United States,2003,TV-14,3 estaciones,3 Seasons,"Realidad, Romance","Reality, Romance","ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.","El reality show romántico de ABC le permite a una afortunada dama reducir el campo de solteros, dejando solo al hombre de sus sueños.",Hulu
s11,programa de televisión,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,Las verdaderas reinas del hip-hop: las mujeres que cambiaron el juego,,,2021,,1 temporada,1 Season,"Música, Noticias","Music, News",The ABC News special explores the inspiring rise of women in hip-hop and is narrated by Cheryl “Salt” James of Salt-N-Pepa.,El especial de ABC News explora el inspirador ascenso de las mujeres en el hip-hop y está narrado por Cheryl “Salt” James de Salt-N-Pepa.,Hulu
s12,Película,Movie,Dream Horse,Caballo de ensueño,,,2020,PG,113 minutos,113 min,"Comedia, Drama","Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,La película cuenta la inspiradora historia real de un barman de un pequeño pueblo que decide criar un caballo de carreras. La comunidad aporta sus pequeñas ganancias y la inversión da sus frutos cuando él se convierte en un faro de esperanza en su ciudad en dificultades.,Hulu
s13,Película,Movie,Out of the Shadows: The Man Behind the Steele Dossier,Fuera de las sombras: el hombre detrás del expediente Steele,,,2021,,#VALUE!,,Noticias,News,"George Stephanopoulos sits down with former MI6 spy Christopher Steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the Steele dossier.","George Stephanopoulos se sienta con el ex espía del MI6 Christopher Steele para una entrevista exclusiva a nivel mundial; marcando su primera entrevista desde la publicación de la serie de informes de inteligencia ahora conocidos como el expediente Steele.",Hulu
s14,programa de televisión,TV Show,Wakefield,Wakefield,,,2021,,1 temporada,1 Season,"Drama, Misterio","Drama, Mystery","With a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse Nik Katira is the most stable person at Wakefield mental health unit in the picturesque Blue Mountains of Australia. But as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness.","Con el don de calmar a los afligidos y llegar a los inalcanzables, la brillante enfermera psiquiátrica Nik Katira es la persona más estable de la unidad de salud mental de Wakefield, en las pintorescas Montañas Azules de Australia. Pero cuando su propia cordura comienza a fallar repentinamente, se encuentra cuestionando la línea entre la realidad y la locura.",Hulu
s15,programa de televisión,TV Show,Home Sweet Home,Hogar dulce hogar,,,2021,TV-PG,1 temporada,1 Season,Realidad,Reality,"Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay.","Familias reales de diferentes orígenes experimentan una nueva forma de vida cuando intercambian casas, saliendo de sus zonas de confort para descubrir las similitudes de cada uno y celebrar sus diferencias, creado por la productora ejecutiva Ava DuVernay.",Hulu
s16,Película,Movie,Showtime Championship Boxing: Lopez vs. Salido (R),Showtime Championship Boxing: López vs. Salido (R),,,2011,,#VALUE!,,Deportes,Sports,Juan Manuel Lopez vs. Orlando Salido for the WBO Featherweight title.,Juan Manuel López vs. Orlando Salido por el título de peso pluma de la OMB.,Hulu
s17,programa de televisión,TV Show,Showtime Championship Boxing: Wilder vs. Molina,Showtime Championship Boxing: Wilder vs Molina,,,2015,TV-14,1 temporada,1 Season,Deportes,Sports,Champion Deontay Wilder vs. Eric Molina. Live from the Bartow Arena.,Campeón Deontay Wilder vs. Eric Molina. En vivo desde el Bartow Arena.,Hulu
s18,programa de televisión,TV Show,America's Book of Secrets,El libro de los secretos de Estados Unidos,Estados Unidos,United States,2012,TV-14,1 temporada,1 Season,"Documentales, Historia","Documentaries, History","America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.","La historia de Estados Unidos se puede contar de muchas maneras. Si bien gran parte de la historia de nuestro país está bien documentada y ampliamente disponible, hay otra historia más profunda que ha estado envuelta en secreto y oculta a la vista del público; estas son las historias que revelaremos.",Hulu
s19,programa de televisión,TV Show,Beyond Oak Island,Más allá de la isla Oak,,,2020,TV-PG,1 temporada,1 Season,"Historia, Realidad","History, Reality","From pirates such as Blackbeard and outlaws like Jesse James, to Aztec gold, priceless historical artifacts from American history and sunken treasure ships, “Beyond Oak Island” digs deep into the many treasure quests across the globe.","Desde piratas como Barbanegra y forajidos como Jesse James, hasta oro azteca, artefactos históricos de valor incalculable de la historia estadounidense y barcos del tesoro hundidos, “Beyond Oak Island” profundiza en las numerosas búsquedas de tesoros en todo el mundo.",Hulu
